,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Price,Change,Volume
10,250,ISRG,101.63B,,0.14,0.15,0.14,5.1,4.6,0,0,0.69,0.32,0.3,282.95,0.02,1771300
11,251,IT,23.87B,,0.11,1.49,0.26,0.8,0.8,6.62,6.64,0.7,0.19,0.17,290.04,0.01,340992
12,252,ITW,66.15B,0.02,0.17,0.78,0.25,1.8,1.3,1.91,2.12,0.41,0.24,0.19,211.38,0.01,850259
13,253,IVZ,9.81B,0.03,0.04,0.13,0.06,,,0.82,0.82,0.69,0.26,0.2,21.3,0,4513741
14,254,J,17.84B,0.01,0.02,0.05,0.05,1.4,1.4,0.51,0.52,0.23,0.05,0.02,138.03,0.02,873477
15,255,JBHT,22.68B,0.01,0.12,0.26,0.18,1.3,1.3,0.3,0.42,0.17,0.09,0.06,216.28,0.01,885790
16,256,JCI,45.58B,0.02,0.04,0.09,0.08,1,0.8,0.43,0.47,0.34,0.12,0.07,64.87,0,4448269
17,257,JKHY,13.42B,0.01,0.15,0.26,0.22,1.3,1.3,0.19,0.19,0.41,0.24,0.19,184.25,0,585530
18,258,JNJ,464.85B,0.02,0.12,0.3,0.19,1.3,1.1,0.41,0.46,0.68,0.24,0.22,176.8,0.01,7459864
19,259,JNPR,11.18B,0.02,0.03,0.06,0.05,1.6,1.4,0.39,0.39,0.58,0.07,0.05,34.65,0.01,5427811
20,260,JPM,413.84B,0.03,0.01,0.18,0.06,,,1.16,1.16,,,0.8,140.15,0.01,17019277
1,261,K,20.76B,0.04,0.08,0.43,0.12,0.6,0.4,1.68,1.91,0.32,0.12,0.11,61.04,0,2160942
2,262,KEY,22.39B,0.03,0.01,0.16,0.14,,,0.78,0.78,,,0.58,24.13,0.01,7442460
3,263,KEYS,28.53B,,0.12,0.26,0.17,3,2.4,0.47,0.47,0.63,0.23,0.19,156.75,0.02,1138589
4,264,KHC,46.20B,0.04,0.01,0.02,0.04,1,0.7,0.43,0.44,0.33,0.14,0.04,37.75,0,4257992
5,265,KIM,14.73B,0.03,0.05,0.11,0.02,,,0.76,0.76,0.69,0.29,0.6,23.88,0,2794816
6,266,KLAC,53.15B,0.01,0.28,0.83,0.32,2.4,1.8,0.85,0.85,0.62,0.39,0.37,352.61,0,1014153
7,267,KMB,40.88B,0.04,0.1,3.57,0.22,0.8,0.5,15.89,16.73,0.32,0.13,0.09,121.34,0,1764264
8,268,KMI,39.82B,0.06,0.03,0.06,0.04,0.7,0.6,1,1.08,0.47,0.18,0.11,17.56,0.02,15740761
9,269,KMX,16.80B,,0.05,0.25,0.04,2.9,0.6,3.44,3.55,0.11,0.05,0.04,103.92,0.02,1118004
10,270,KO,260.52B,0.03,0.11,0.45,0.13,1.1,1,1.66,1.86,0.6,0.28,0.25,60.09,0.01,15568402
11,271,KR,40.92B,0.02,0.02,0.12,0.09,0.8,0.3,1.33,1.44,0.23,0.02,0.01,55.66,0.01,5363148
12,272,L,15.84B,0,0.02,0.09,0.08,,,0.5,0.51,,0.18,0.11,63.8,0.01,980645
13,273,LDOS,14.61B,0.01,0.06,0.18,0.1,1.1,1,1.07,1.18,0.15,0.08,0.06,103.99,0.02,1157358
14,274,LEN,25.77B,0.01,0.14,0.22,0.16,,,0.22,0.31,0.22,0.21,0.16,89.29,0.01,3537427
15,275,LH,25.62B,,0.12,0.23,0.16,1.9,1.8,0.54,0.54,0.35,0.2,0.15,274.33,0,598230
16,276,LHX,48.03B,0.02,0.05,0.09,0.06,1.4,1.2,0.37,0.37,0.3,0.12,0.1,248.79,0.02,1198836
17,277,LIN,157.08B,0.01,0.05,0.09,0.06,0.7,0.6,0.26,0.32,0.43,0.16,0.12,309.37,0.02,2262554
18,278,LKQ,13.30B,0.02,0.09,0.19,0.13,2,0.8,0.48,0.49,0.41,0.11,0.08,46.65,0.01,2333733
19,279,LLY,271.91B,0.01,0.12,0.74,0.21,1.2,1,1.71,1.88,0.74,0.21,0.2,285.51,0.03,3264762
20,280,LMT,116.72B,0.03,0.12,0.76,0.35,1.4,1.2,1.06,1.07,0.14,0.14,0.09,428.59,0.02,2946346
1,281,LNC,11.35B,0.03,0,0.07,0.07,,,0.31,0.33,,0.1,0.07,65.8,0,2106455
2,282,LNT,15.27B,0.03,0.04,0.11,0.06,0.5,0.4,1.12,1.32,0.93,0.22,0.18,60.98,0,1011219
3,283,LOW,157.03B,0.01,0.14,,0.34,1.2,0.4,,,0.33,0.11,0.07,234.38,0.01,3319868
4,284,LRCX,73.42B,0.01,0.29,0.78,0.36,3.1,2.3,0.77,0.77,0.46,0.32,0.28,526.32,0.02,1356369
5,285,LUMN,11.06B,0.09,0.04,0.18,0.09,1.6,1.6,2.32,2.45,0.57,0.22,0.1,10.81,0,8633950
6,286,LUV,25.34B,,0.03,0.1,0.06,2,1.9,0.99,1.03,0.7,0.11,0.06,42.78,0.01,9444082
7,287,LVS,28.55B,,0.05,0.42,0.05,2.1,2.1,7.38,7.41,0.38,0.2,0.23,37.37,0.02,9779157
8,288,LW,7.77B,0.02,0.05,0.45,0.12,2.5,1.6,7.37,7.46,0.19,0.1,0.05,53.49,0.01,1318623
9,289,LYB,34.18B,0.04,0.15,0.52,0.24,1.7,1,0.95,0.98,0.19,0.15,0.12,104.21,0.03,2376752
10,290,LYV,24.97B,,0.05,1.02,0.06,1,1,,,0.31,0.05,0.11,111.17,0.01,2634413
11,291,MA,338.64B,0.01,0.24,1.3,0.4,1.3,1.3,1.79,1.9,,0.53,0.46,346.44,0.01,3242768
12,292,MAA,24.18B,0.02,0.05,0.09,0.04,,,0.75,0.75,0.59,0.25,0.3,209.66,0.01,408061
13,293,MAR,55.88B,,0.04,1.31,0.13,0.6,0.6,6.6,7.17,0.2,0.11,0.08,171.24,0.01,1581918
14,294,MAS,13.66B,0.02,0.07,3.41,0.36,1.8,1.1,,,0.34,0.14,0.05,56.93,0.01,1991612
15,295,MCD,176.58B,0.02,0.14,1.29,0.28,1.8,1.8,,,0.54,0.45,0.33,237.47,0,3751482
16,296,MCHP,41.93B,0.01,0.06,0.17,0.05,1.8,1.2,1.36,1.36,0.65,0.22,0.15,75.42,0.01,3703809
17,297,MCK,44.18B,0.01,0.02,2.36,0.61,1,0.6,,,0.05,0.01,0.01,294.92,0.01,2107462
18,298,MCO,59.60B,0.01,0.16,0.95,0.23,1.6,1.6,2.72,0,0.74,0.46,0.36,321.83,0.02,630584
19,299,MDLZ,86.45B,0.02,0.06,0.16,0.07,0.7,0.5,0.62,0.69,0.39,0.16,0.15,62.27,0.01,7241814
20,300,MDT,147.22B,0.02,0.05,0.1,0.05,2.6,2.1,0.46,0.48,0.69,0.18,0.16,109.74,0.02,5691797
1,301,MET,56.25B,0.03,0.01,0.09,0.09,,,0.25,0.26,,0.13,0.09,68.17,0.01,4794855
2,302,MGM,18.42B,0,0.03,0.19,0.11,1.9,1.8,1.95,2.13,0.48,0.24,0.12,41.94,0.01,4724209
3,303,MHK,9.44B,,0.07,0.12,0.1,1.8,1,0.2,0.28,0.29,0.12,0.09,145.15,0,681099
4,304,MKC,25.95B,0.02,0.06,0.18,0.09,0.7,0.3,0.9,1.2,0.4,0.16,0.12,96.89,0,1350982
5,305,MKTX,13.41B,0.01,0.17,0.25,0.25,,,0,0,0.94,0.48,0.37,354.34,0,272926
6,306,MLM,23.90B,0.01,0.06,0.11,0.07,2.7,1.7,0.78,0,0.25,0.18,0.13,383.08,0.01,395455
